526942434	282161431	492420518	925148288	494913615	571756123	67135438	1344486858	1502927122	319025808	
956114521	1981308815	105601003	1894406293	2124068075	13735197	1123081434	1440028030	1654526162	774467460	
2008062759	569311606	2003078471	1147331652	11005940	1527661176	956057903	1570316113	1292589237	1240478667	
306943443	1769687446	587074991	97706176	916330058	1040126134	900097694	1913387948	2112212304	1315132400	
1447413472	701835276	361826224	543055299	1884700833	189617603	1248381625	753161881	516594409	353589496	
117142942	1175575347	597120717	515863222	671516214	678676578	531272109	1831448564	1468933550	1873532163	
1321699788	1916797698	798177206	939156605	1564439460	1401251307	238019695	1915961466	1689923971	328311550	
287656241	539888561	1145905917	957949244	1195366666	162106600	256961364	397203333	1695462882	501342175	
1689807742	1691541634	1780781921	904061666	1351714774	373141705	768745362	695761605	1463969281	1848637199	
620389011	698250747	1465576024	1724493188	1710035782	798407300	1175340596	434687903	1711993346	1993217913	
